eval_count,energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17
73,1.0799958086321544,-0.5752175136930077,-1.0697411168894022,-1.8267920010752636,-0.6058221293110782,-0.3790201845199954,-0.03869615026592399,1.1140811229397691,-0.7858334231095379,0.47871394908864995,-0.2995159259659219,-0.06617279142106028,-1.1549577625419019,0.9742147784598372,-0.9256997675894981,-0.05897428547143427,-0.4325632581086388,-0.8571169293521361,-0.5454618126038135
74,0.4389103596522128,0.0008342338402956284,-0.9456468796993424,-2.023339382693058,-0.6244907860443343,-0.30431609726731945,-0.40982023109594606,1.1069636178658127,-0.3297857304601047,0.21359752943901664,-0.34334734940225997,-0.17531907973004118,-0.7458689509743709,0.6957986135170178,-0.7409507348089256,-0.12170594774591532,-0.3085275635661277,-1.0979021967553841,-0.27709309612184835
75,0.4654194561227083,-0.3724621525077899,-0.7953131449603696,-2.1564586005244943,-0.9538066808828598,-0.20136066877165026,-0.5880999474023796,0.666145705796926,-0.26222801109945515,0.35057807801334884,-0.3720718712645099,0.21478440556834055,-0.8894956856762986,0.7595321998050943,-0.16884151709131445,0.29610232959418326,-0.3743983923048114,-1.3021017965410233,-0.41376667862479133
76,0.3509155727552127,-0.2920572248266992,-0.6223356443472776,-2.020050777691963,-0.6287323881421846,-0.30652906852846384,-0.388092111636001,0.7748455008336903,-0.3029510554381792,0.2308969869180909,-0.32193577745552665,-0.15778982163570554,-0.7292377033666928,1.1280831205931061,-0.8321155770211389,-0.13868590463282793,-0.2871892480695888,-1.0937006218263965,-0.24755902691265694
77,0.9916811867740964,-0.2676397379111031,-0.6191928215949286,-2.141213804345789,-0.7992920416846878,-0.46851313540938566,-0.4666278815723064,1.0095327763155784,-0.8723387571057737,0.20773306172793182,-0.3774094828497281,-0.1110808600991495,-0.7836546556616695,0.8813258751269553,-0.3097587498323508,-0.7846431419757781,-0.33640800354508515,-1.274189403459324,-0.2656143728215869
78,0.4546497173828774,-0.22827230966851822,-0.5500681014289595,-1.9051116545675744,-0.5190197979346431,-0.21806557237785057,-0.3597021706969119,1.1585401638932946,-0.5445965732258102,0.27034436284634755,-0.26458900828557735,-0.1971279591277851,-0.7028042285395671,0.9261564412695573,-0.4605802506320453,0.08089621312032076,-0.23719685077222108,-0.9743887675531316,-0.22857507810776784
79,1.5866800862859898,-0.18337967612764106,-0.499292148014572,-1.7955922779864524,-0.7998679373157704,-0.8349618853688295,-0.8869828358459249,1.1686501457738974,-0.40095230985632013,0.28223726883411304,-0.3397383437915475,-0.5088189830422976,-0.9962872912673817,0.9477375650822115,-0.8150597854120627,0.23204168309445833,-0.3170458681695839,-1.3636272682375021,-0.37629251623761706
80,0.22752812079355245,-0.33857297708921025,-0.5527760096989434,-2.2222004629068,-0.5371501919966494,-0.26790422396371916,-0.5097911120044873,1.0643861065721785,-0.42619790709832495,0.40683686925294843,-0.5494588966639002,-0.23881489069813372,-0.7360375576315298,0.7591828346944219,-0.7314011789761058,-0.0669976716286089,-0.5070564817030414,-1.0087723937932402,-0.42689821449725
81,0.7208468598914752,-0.5793187751591082,-0.6432393252635994,-1.8569758722682117,-0.27529516023142503,-0.5446841971577271,-0.24286719823159086,0.7845948285862641,-0.14156532771422958,0.24873184874205687,-0.738595872695349,-0.48502491508242046,-0.4218103036398957,0.5230161353525442,-0.43367271309856376,-0.1377859277938977,-0.7024422999737818,-0.9691427007070804,-0.5511729210235855
82,0.5065986241255311,-0.18524661554367242,-0.5725447182887392,-2.35186276588575,-0.4926728237234731,-0.0899579389864345,-0.6085318215010537,1.0624719157802813,-0.26052487660595436,0.49477137136766036,-0.48739105695978735,-0.20486503575744247,-0.6871427580554953,0.9189180716841022,-0.6585100460495228,-0.12559164789471006,-0.659770241588694,-0.753449265973035,-0.4501910016501331
